2022-03-1,21.6,26.6,0,,7.4,SW,43,17:59,24.5,66,3,SSW,13,1008.5,23.6,69,7,SW,22,1008.4
2022-03-2,16,23.6,1.6,8.6,6.9,SSW,41,17:34,16.6,93,8,SSW,15,1013.6,22.7,44,2,SSW,19,1013.3
2022-03-3,10.4,25.9,1.4,5.8,11.9,SW,39,16:00,18.1,50,0,ESE,11,1020.1,24.1,45,1,SSW,20,1017
2022-03-4,14.5,28.9,0,6.8,12,SE,31,12:37,19.1,50,0,ESE,11,1022.9,27,38,0,SSW,11,1018.4
2022-03-5,17.5,32.8,0,8,11.3,ENE,31,08:06,22.3,53,0,E,9,1020.7,31.8,24,2,ENE,11,1016.5
2022-03-6,19.3,34.4,0,10.6,12.7,SSW,50,15:55,25.5,48,0,NE,13,1018.8,32.9,29,0,SSW,15,1015.6
2022-03-7,20.3,34.4,0,10.6,11.7,ESE,39,08:47,24.4,53,1,E,15,1020.6,33.5,27,1,ESE,13,1016.6
2022-03-8,18.6,34,0,11.2,11.8,ENE,35,02:17,23.9,53,1,ENE,13,1019.3,32.4,27,0,ESE,13,1015.5
2022-03-9,20.1,35.7,0,8.6,11.5,NE,28,09:33,27.3,35,6, ,Calm,1016.8,35.4,19,6,SSW,13,1013.4
2022-03-10,19.3,38.5,0,7.4,10.9,SSW,31,16:43,29.2,26,7,NE,13,1014.2,38.2,15,2,WSW,11,1010
2022-03-11,21.6,39.1,0,12,5.2,SW,33,14:14,30.5,25,7,NE,15,1009.8,33.6,25,7,W,9,1007.1
2022-03-12,20.8,28.3,0,11.2,10.2,WSW,30,15:14,25.7,72,6,W,6,1008.2,26.5,58,2,W,13,1007.8
2022-03-13,22.6,28.9,0,7.2,5.5,W,24,11:40,24.5,66,8,WSW,7,1012.6,26.1,54,6,WSW,11,1011.4
2022-03-14,17.2,29,0,5.8,11.1,SW,31,16:00,22.9,67,0,NE,9,1014.1,27.1,52,2,WSW,15,1010.6
2022-03-15,20.1,27.3,0,6.4,5.3,WSW,35,13:44,23.3,71,7,WSW,13,1012.8,24,70,7, ,Calm,1011.6
2022-03-16,18,27.6,0.2,4.8,7.7,WSW,31,15:06,23.6,60,5,W,9,1014.4,26.4,48,6,WSW,13,1014.6
2022-03-17,15.8,31.7,0,4.8,11.1,ENE,30,11:21,22.6,66,1,E,9,1018.9,29.7,45,4,SW,11,1013.7
2022-03-18,16.2,28.5,0,6,3.1,SW,22,15:44,22.9,68,8,NE,6,1012.7,27.3,50,7,SW,11,1010.8
2022-03-19,19.4,30.6,0,5,5.2,ESE,30,17:08,24.1,59,7, ,Calm,1017,28.9,44,8,SE,11,1013.6
2022-03-20,18.8,28.2,0,7.4,3.9,SW,39,16:32,21.6,61,7, ,Calm,1012.8,26.2,49,7,SW,15,1011.2
2022-03-21,18.8,27.8,0,4.6,6.4,S,33,02:11,20.5,68,7,SE,13,1018.7,26.2,44,4,SE,13,1016.5
2022-03-22,15.4,27.9,0,5.8,11.1,E,28,23:59,20.1,55,1, ,Calm,1021.9,26.7,31,0,SSE,11,1017.6
2022-03-23,15,28.3,0,6.6,11.2,ENE,35,03:34,19.3,49,0,ENE,9,1020.6,27.6,30,0,SE,13,1015.8
2022-03-24,15.4,30.8,0,7.6,11,ESE,31,02:46,20.5,52,0, ,Calm,1018,29.6,24,0,E,13,1013.8
2022-03-25,19.1,36,0,9.6,8.2,NE,30,09:03,26,31,3,ENE,13,1012.7,35,19,7,NE,9,1008.2
2022-03-26,21.2,30.5,1.8,5.8,6,SE,33,21:52,25.6,64,4,NE,9,1008.3,27.7,58,5,WNW,15,1006.3
2022-03-27,20.7,24.9,0,4,2.4,SSE,33,03:41,22.6,69,7,ESE,13,1014,24.2,57,7,SE,13,1013.5
2022-03-28,17.1,26.3,0,6.6,5.3,ESE,35,08:51,20.5,68,1,E,9,1015.1,25.2,58,7,ESE,13,1012.1
2022-03-29,19.9,31,0,4.6,4.6,,,,22,69,7, ,Calm,1014.3,30.2,45,7,ENE,11,1010.9
2022-03-30,21.2,27.3,,6,1.8,E,31,12:42,23.6,67,7, ,Calm,1016.4,25.6,62,7,ENE,13,1014.1
2022-03-31,20.1,31.1,0,6.4,9.6,NE,35,09:57,23.9,59,5,ENE,15,1017.3,30.1,45,2,E,13,1013.9
