21.6,26.6,24.5,23.6
16.0,23.6,16.6,22.7
10.4,25.9,18.1,24.1
14.5,28.9,19.1,27.0
17.5,32.8,22.3,31.8
19.3,34.4,25.5,32.9
20.3,34.4,24.4,33.5
18.6,34.0,23.9,32.4
20.1,35.7,27.3,35.4
19.3,38.5,29.2,38.2
21.6,39.1,30.5,33.6
20.8,28.3,25.7,26.5
22.6,28.9,24.5,26.1
17.2,29.0,22.9,27.1
20.1,27.3,23.3,24.0
18.0,27.6,23.6,26.4
15.8,31.7,22.6,29.7
16.2,28.5,22.9,27.3
19.4,30.6,24.1,28.9
18.8,28.2,21.6,26.2
18.8,27.8,20.5,26.2
15.4,27.9,20.1,26.7
15.0,28.3,19.3,27.6
15.4,30.8,20.5,29.6
19.1,36.0,26.0,35.0
21.2,30.5,25.6,27.7
20.7,24.9,22.6,24.2
17.1,26.3,20.5,25.2
19.9,31.0,22.0,30.2
21.2,27.3,23.6,25.6
20.1,31.1,23.9,30.1
